id,username,created_at,lng,lat,text
1514074218232692736,BurggraffTrey,Wed Apr 13 02:53:18 +0000 2022,-82.5330735,27.3411215,Aint nobody going to be running the ball on us! Lets get to work brotha. @EteakiRomeo @Coach_Carleton_ @CoachE_DC… https://t.co/kmocGwzuLw
1514074220669644801,MOLLY_PISTOL,Wed Apr 13 02:53:19 +0000 2022,-95.44648649999999,29.838495,they only fuck with me when they need some from me
1514074222141878279,Iucasgunny,Wed Apr 13 02:53:19 +0000 2022,-83.1738665,32.6782075,@TraiihWay @FoxA_R6 Nahhh what
1514074223320481796,JoshMCallaway,Wed Apr 13 02:53:19 +0000 2022,-97.552161,35.4828435,"Home run derby in Amarillo continuesPeyton Graham lifts one out to left, a solo shot to extend Oklahoma’s lead to… https://t.co/MyWPRubU9a"
1514074224704561153,JungleRat7,Wed Apr 13 02:53:19 +0000 2022,-80.926628,33.6311395,"@FauxJeaux ""Really Phil? Yager for breakfast? """
1514074225019179018,Patbooker18,Wed Apr 13 02:53:20 +0000 2022,-87.7909645,41.843258500000005,@RyanHorvat she must of had twolves 1h
1514074225568632835,FolksPrinting,Wed Apr 13 02:53:20 +0000 2022,-79.861034,35.1704985,"Hot or cold. However you run, we have you covered. Quality labels for your quality products.… https://t.co/cit7CtxuYb"
1514074226092818434,JohnEdwards2U,Wed Apr 13 02:53:20 +0000 2022,-81.5065025,41.475558500000005,We love 💕💕💕💕💕 Dolly...! The total package and 💯% real on All levels....!
1514074226269036548,golfmeyer,Wed Apr 13 02:53:20 +0000 2022,-86.441236,39.766555499999996,@dougmeyer5 @basiefert What a clown? Spoiled rich entitled owner who could care less about the fans. This holds abo… https://t.co/Q0TxGphhRb
1514074225870475268,KingZachRenn,Wed Apr 13 02:53:20 +0000 2022,-122.360873,47.0457315,"Hi everyone, I plan to make my poster for the official title for…Dinosaur IslandTriassic AttackPrehistoric Attac… https://t.co/EvcGcPKTBq"
1514074226583605248,__VSmithII,Wed Apr 13 02:53:20 +0000 2022,-95.44648649999999,29.838495,Gavin Lux is here!!
1514074226965323778,45JDnVB,Wed Apr 13 02:53:20 +0000 2022,-76.069946,36.8025415,Such BS! Why is this lunatic still allowed to speak such lies? Democrats spew lies &amp; ppl believe it like it’s the G… https://t.co/ZCwr9FIU2F
1514074227313369090,blakerobert20,Wed Apr 13 02:53:20 +0000 2022,-89.5694915,44.900818,"Yes I was living here then, it was an early experiment I think, housed in the first shopping mall here ."
1514074227934064645,igb,Wed Apr 13 02:53:20 +0000 2022,-116.5172895,33.8250795,"@beamjack Yeah, I can make a system-level font increase, but ""character"" legibility scales down better than emoji or icons."
1514074228580102148,RootedLoveBlueR,Wed Apr 13 02:53:20 +0000 2022,-78.487448,38.0400365,I don't mind forgetting my past again under my good circumstances. That was my school's solution for all of us girl… https://t.co/GSo3asbr0L
1514074227162644482,WrEtcH_,Wed Apr 13 02:53:20 +0000 2022,-122.38977671,37.77885586,"Tonight the jacket stays on 😂. #SFGiants (at @OracleParkSf in San Francisco, CA) https://t.co/m6zzgkDWqZ https://t.co/859CDAeniB"
1514074229125238789,Fredwanderss,Wed Apr 13 02:53:21 +0000 2022,-118.136676,34.0855965,@jussxjonniee @DuhOscar1 lmaooooooooooo you bitch 😂
1514074229033078785,MauricioSwift13,Wed Apr 13 02:53:20 +0000 2022,-87.732013,41.8335845,Samantha is one of the worst lip syncers ever #drageaceespana https://t.co/P4yt5ZxekO
