username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Ari Hoffman,356592761,"Seattle, Washington",2023-01-08 20:33:11,"@RepJayapal Just to be clear, Pramila Jayapal supported defunding the police and advocated for BLM &amp; Antifa rioters… https://t.co/7jdfgfUhKz",1,Twitter Web App,
Mary Jane💚,1498144409749110786,"Lynnwood, WA",2023-01-08 20:32:15,@Missyut3 @GregAbbott_TX Turning a blind eye to homelessness and then finally seeing it's been there the entire tim… https://t.co/mBxepMbJQN,0,Twitter Web App,
Dan 🌊🌊🌊🌊🌊🌊❤️🆘,17110049,seattle,2023-01-08 20:01:48,"I’ve been saying that, no one listens. The wealthy will not concede control unless we come out in force AND it’s su… https://t.co/TUQQ3oXPDn",1,Twitter for iPhone,
Cedarflame,19866972,"Seattle, WA ",2023-01-08 18:30:40,"It must be Sunday...Antifa and BLM are trending. The ""Christians"" must have all gotten home from Church.",1,Twitter Web App,
Robert,1599253473438371840,"Seattle, WA",2023-01-08 16:12:41,@kiloalphalima16 @thehill The right leans towards violence 😂 do you not remember the BLM and ANTIFA riots that kill… https://t.co/esxZzF1UUs,0,Twitter for iPhone,
John Bryant,1591831970937462784,"Seattle, WA",2023-01-08 16:00:11,@bsmith1322 @darlene24732070 @ReOpenChris They do? Can you provide a link of a BLM or ANTIFA crowd blocking the str… https://t.co/lSHuFrHs5e,0,Twitter for iPhone,
Riccardo/Ricco,1199934897797754882,"Bothell, WA",2023-01-08 12:03:29,@CallMeK1123 @ipoppingvideos ya well….BLM right?  God……,0,Twitter for iPhone,
Paul Schlienz,543094220,"Kirkland, WA",2023-01-08 09:06:31,Why didn't USA Today also enlist the public to identify BLM/Antifa rioters when they were raising havoc and causing… https://t.co/FjCGFNfBAY,0,Twitter for Android,
max,1238333898938974209,"Seattle, WA",2023-01-08 06:29:33,@FrycookHandjob i kinda lost my love for her when she showed up at the blm protests in 2020 going on and on and on… https://t.co/vSzIioxVUL,0,Twitter for iPhone,
David Workman,1583999188484096000,"Seattle, WA",2023-01-08 06:21:43,"Anyone who supports BLM has a problem with America in general. They don’t need to be here, I’m sure Iran, North Kor… https://t.co/FReBb1E6Bk",0,Twitter for iPhone,
Bob Mccoy,1586084559577575424,"Seattle, WA",2023-01-08 04:55:16,@KanekoaTheGreat America is under attack. There was no peaceful protest in Seattle in 2020. That was a violent atta… https://t.co/Xjcq5V1XXE,0,Twitter for Android,
